Pear Pie III,"My kids are always asking me to make this delicious creamy pear pie, it's their favorite! This recipe came from my mother who is known for her outrageously wonderful cooking!",4.5,15 mins,false
White Chocolate Macadamia Nut Cookies,"I was served white chocolate macadamia nut cookies at a restaurant in Springfield, MO, during a business conference. Went home and made up this recipe which has been a hit at any church gathering I take them to. They're even better than the one I had at the conference.",4.5,15 mins,false
preserved lemons,4,4,1000,false
